id,razao social,endereco,bairro,bandeira,latitude,longitude
83,Posto Apolo Ltda,"Avenida Cais do Apolo, 790",Recife,IPIRANGA,8.055335099999999,34.8718359
84,Almeida Comercio de Der. de Petroleo Ltda,"Avenida Montevideu, 336",Boa Vista,RAIZEN,8.049077,34.8924888
85,Petrocal Petroleo Cavalcanti Limitada,"Rua Sao Mateus, 26",Iputinga,PETROBRAS DISTRIBUIDORA S.A.,8.0414007,34.9368501
86,Posto Netuno Ltda,"Avenida Antonio de Goes, 183",Pina,FEDERAL,8.089362999999999,34.8833077
87,Posto Leticia Pereira e Santos Ltda,"Avenida Herculano Bandeira, Sn",Pina,PETROBRAS DISTRIBUIDORA S.A.,8.0884708,34.8856857
88,Passira Comercio de Derivados de Petroleo Ltda,"Avenida João de Barros, 1179",Espinheiro,PETROBRAS DISTRIBUIDORA S.A.,8.044304,34.890254
89,Petrocal Petroleo Cavalcanti Limitada,"Avenida Norte, 3110",Rosarinho,PETROBRAS DISTRIBUIDORA S.A.,8.033548099999999,34.896225
90,Posto Albatex Ltda,"Avenida Professor Moraes Rego, 670",Varzea,IPIRANGA,8.044454199999999,34.9443961
91,Posto Leão da Ilha Ltda.,"Avenida Engenheiro Abdias de Carvalho, 125 0",Madalena,RAIZEN,8.0623066,34.9114331
92,Posto Xingu Ltda,"Rua Joao Tude de Melo, 91",Parnamirim,IPIRANGA,8.0359422,34.9099119
93,Posto Cancun Ltda,"Estrada de Belem, 736",Campo Grande,TDC DISTRIBUIDORA,8.033705399999999,34.8850685
94,Petrocal Petroleo Cavalcanti Limitada,"Rua Conselheiro Nabuco, 383",Casa Amarela,PETROBRAS DISTRIBUIDORA S.A.,8.0292967,34.9172694
95,Posto Tacaruna Ltda,"Avenida Cruz Cabuga, 991",Santo Amaro,IPIRANGA,8.039565399999999,34.8719012
96,Posto Cayman Ltda.,"Estrada de Belem, 1218",Campo Grande,BRANCA,8.0323244,34.8811986
97,Mc Comercio Derivados de Petroleo Ltda,"Avenida Norte, 4390 0",Tamarineira,PETROBRAS DISTRIBUIDORA S.A.,8.0264024,34.9048737
98,Cjcm Petroleo Ltda.,"Avenida Marechal Mascarenhas de Morais, 4900",Imbiribeira,RAIZEN,8.1278436,34.9158603
99,Cjcm Petroleo Ltda.,"Avenida Dezessete de Agosto, 2450",Monteiro,RAIZEN,8.028319,34.9261111
100,Posto Elo Ltda,"Estrada dos Remedios, 879",Afogados,IPIRANGA,8.0722081,34.9077672
101,Posto A. R. Combustivel Ltda,"Praca Venacio de Rezende, 10",Afogados,BRANCA,8.0800758,34.9107288
102,Petrocal Petroleo Cavalcanti Limitada,"Avenida Professor Estevão Francisco da Costa, 257",Torre,BRANCA,8.0472162,34.9189923
103,Posto Casa Forte Ltda.,"Avenida 17 de Agosto, 598",Casa Forte,PETROBRAS DISTRIBUIDORA S.A.,8.0367696,34.9144537
104,Petrocal Petroleo Cavalcanti Limitada,"Avenida Norte, 3110",Rosarinho,PETROBRAS DISTRIBUIDORA S.A.,8.033548099999999,34.896225
